Article_id,Title,Description,Date,Category,URL
48,"Bihar minister seeks action over ‘forced conversion’ of two girls, cops not so sure","In a letter to the Gopalganj DM and SP on June 4, BJP minister Ram wrote that one Yogendra Ram complained to police about his daughter being “kidnapped” by one Shahid Khan.","June 8, 2021  3:49:19 am",India,https://indianexpress.com/article/india/bihar-minister-seeks-action-over-forced-conversion-of-two-girls-cops-not-so-sure-7348702/
49,Jaipur mayor suspended after dispute with local body official,"A dispute had broken out between Singhdeo and Gurjar over alternate arrangements for garbage collection, as BVG, the firm tasked with garbage collection, was on strike.","June 8, 2021 2:37:43 am",India,https://indianexpress.com/article/india/jaipur-mayor-suspended-after-dispute-with-local-body-official-7348749/
50,Reports of change in MP’s CM rubbish: Kailash Vijayvargiya,Vijayvargiya said: “These speculations are completely rubbish. The state will run under Chouhan’s leadership.”,"June 8, 2021 2:35:37 am",India,https://indianexpress.com/article/india/reports-of-change-in-mps-cm-rubbish-kailash-vijayvargiya-7348744/
51,"BSY to BJP MLAs: Focus on Covid, refrain from political remarks","Amid rumors of a possible change in leadership in the state being sought by some of his political rivals, the Karnataka CM had on Sunday stated that he would remain the Chief Minister as long as he enjoyed the confidence of the BJP central leadership.","June 8, 2021  7:25:46 am",India,https://indianexpress.com/article/india/bsy-to-karnataka-bjp-mlas-focus-on-covid-refrain-from-political-remarks-7348728/
52,"Mehul Choksi’s complaint: ‘Barbara’, ‘brutal’ abduction, ‘blundered’ plan by ‘India’","Choksi’s complaint, filed through his legal team, also claimed that he knew “Barbara Jabarica” since one year and detailed her role in the “operation” by “Indian agents”.","June 8, 2021  7:11:37 am",India,https://indianexpress.com/article/india/mehul-choksis-kidnapping-complaint-barbara-brutal-abduction-blundered-plan-by-india-7348740/
53,"Accused of ‘bribing’ rival to withdraw nomination in Assembly polls, Kerala BJP chief booked",The BJP has dismissed the allegations and called it a conspiracy against the party.,"June 8, 2021  7:23:22 am",India,https://indianexpress.com/article/india/state-bjp-chief-k-surendran-booked-for-bribing-rival-to-withdraw-nomination-7348732/
54,ASHA worker gathering details for vaccination assaulted in UP,A case has been lodged at the Gulaharia police station against 10 named persons. No one has been arrested so far.,"June 8, 2021  7:25:12 am",India,https://indianexpress.com/article/india/asha-worker-gathering-details-for-vaccination-assaulted-in-up-7348721/
55,Goa to act against pvt hospitals for not reporting 67 Covid deaths,The lapse came to light while the health department was reviewing data related to Covid-19 in which some hospitals had reported no deaths.,"June 8, 2021 2:02:20 am",India,https://indianexpress.com/article/india/goa-to-act-against-pvt-hospitals-for-not-reporting-67-covid-deaths-7348710/
56,"Course correction because of Supreme Court rap, our pressure: Oppn CMs, leaders",The Opposition Chief Ministers also made it known that the change in policy was because of their pressure and the Supreme Court's criticism of the government's vaccine policy.,"June 8, 2021  7:51:09 am",India,https://indianexpress.com/article/india/pm-modi-centralised-vaccines-procurement-free-jabs-course-correction-because-of-supreme-court-rap-our-pressure-oppn-7348705/
57,Centre extends free foodgrain scheme till Nov for 80 crore people,"Addressing the nation, Prime Minister Modi said, “Today the government has decided that the Pradhan Mantri Garib Kalyan Anna Yojana will now be extended till Diwali. In this time of pandemic, the government is standing with the poor for all his needs.”","June 8, 2021  1:57:26 am",India,https://indianexpress.com/article/india/centre-extends-free-foodgrain-scheme-till-nov-for-80-cr-beneficiaries-7348540/
